name,bin[0],bin[1],bin[2],bin[3],bin[4],bin[5],bin[6],bin[7],bin[8],bin[9],bin[10],bin[11],bin[12],bin[13],bin[14],bin[15],bin[16],bin[17]
canvas,23741,11045,13176,12953,12780,12746,12367,12177,11567,11432,10716,11195,11092,12085,13684,12138,25870,101012
canvas,23293,10798,12976,12977,12945,13244,12915,12446,12114,12130,11657,12064,11789,12335,13246,11517,24860,98470
canvas,22594,10317,12833,13333,13595,13941,13807,13285,12711,12698,12089,12253,11985,12400,13276,11237,24320,95102
canvas,23407,10127,12846,13272,13454,13920,13485,12904,12600,12470,12094,12382,12190,12686,13408,11267,24252,95012
canvas,22417,9869,12824,13585,14035,14148,14407,14142,13637,13084,12512,12663,12203,12761,13132,10794,23727,91836
canvas,22662,10302,12926,13672,13613,14013,13997,14021,13571,13044,12068,12076,12208,12769,13233,10964,23993,92644
canvas,22995,10524,13213,13813,13289,13325,13732,14183,13402,12888,11886,12034,12247,12920,13565,10939,24113,92708
canvas,23449,10655,13170,13602,13074,13396,13815,13952,13409,12909,11770,12011,12303,13187,13820,11141,23903,92210
canvas,23395,10896,13055,13085,12763,12916,12813,12502,12259,12272,11746,12216,11825,12516,13545,11536,24837,97599
canvas,23617,10458,12966,13091,13452,13280,13148,12902,12608,12511,12118,12166,12057,12814,13350,11540,24290,95408
canvas,23344,10153,13031,13507,13730,13401,13638,13532,12898,12859,12201,12324,12190,13032,13372,11078,24180,93306
canvas,24284,10439,13003,13802,13512,13296,13024,12983,12199,12355,12058,12188,12248,13108,13798,11287,24405,93787
canvas,23357,10054,13241,13984,14002,13853,13878,13708,13352,12922,12081,12304,12388,12999,13622,11435,23676,90920
canvas,23443,10291,13150,13841,13419,13604,13769,14004,13275,12723,12022,12155,12571,13130,13704,11295,23787,91593
canvas,22973,10309,13269,13790,13535,13521,13952,14367,13899,13007,11996,12154,12451,13396,13740,11008,23640,90769
canvas,23919,10860,13679,13312,12743,12812,13066,13304,13014,12812,11848,12165,12580,13411,14283,11142,23705,93121
canvas,23429,10435,12805,13490,13148,13322,12913,12740,12889,13054,12460,12802,12511,12828,13702,11170,24057,94021
canvas,24521,10556,13184,13376,13307,12864,12530,12354,12280,11921,11535,11837,11939,13024,14092,11535,24841,96080
canvas,24338,10909,13406,13844,13447,12698,12438,12328,11942,11947,11370,11731,11921,13025,13914,11859,25143,95516
canvas,25396,10862,13580,14120,13150,12717,11949,11644,11219,11216,10744,11055,11255,12911,14390,12334,25554,97680
canvas,24687,10816,13773,14271,13136,12855,12364,12189,11665,11501,11052,11332,11606,13029,14258,12071,25222,95949
canvas,24549,10586,13589,13944,13237,13104,13005,12754,12147,11694,11012,11408,11947,13118,14200,11796,24720,94966
canvas,24270,10562,13900,13631,12993,12833,13058,13045,12841,12013,11339,11658,12294,13385,14052,11497,24476,93929
canvas,24582,10853,13608,13577,12546,12339,12483,12613,12455,12148,11403,11938,12338,13516,13988,11282,24688,95419
canvas,23423,10541,12920,13409,13128,12754,12935,13063,12940,13182,12290,12359,12379,12793,13659,11315,24209,94477
canvas,24224,10986,13530,13522,12765,12502,12189,12319,12206,12329,11488,11678,12063,13064,13919,11709,24914,96369
canvas,23754,10572,13473,14082,13398,12831,12744,12712,12480,12398,11643,11655,11797,12757,13767,11754,24858,95101
canvas,24207,10730,13706,13675,13031,12460,12476,12632,12009,12184,11367,11621,11971,12773,14154,11796,24694,96290
