name,bin[0],bin[1],bin[2],bin[3],bin[4],bin[5],bin[6],bin[7],bin[8],bin[9],bin[10],bin[11],bin[12],bin[13],bin[14],bin[15],bin[16],bin[17],bin[18],bin[19],bin[20],bin[21],bin[22],bin[23],bin[24],bin[25]
canvas,22855,7960,8589,7618,6613,5970,5425,4889,4554,4279,3945,3831,3936,4082,4047,4391,4752,5018,5578,5951,6341,7598,8932,8488,20326,155808
canvas,23525,7817,8332,7707,6836,6081,5531,5135,4536,4218,3976,3972,3815,4292,4335,4888,5154,5539,6128,6436,6657,7765,8735,8128,20015,152223
canvas,24011,7441,8377,8093,7382,6569,5849,5141,4702,4212,3961,3908,3874,4433,4380,4919,5305,5741,6220,6598,6849,7728,8706,8056,20510,148811
canvas,25512,7760,8572,8268,7382,6170,5498,4741,4205,3808,3593,3394,3441,4069,4061,4754,5099,5654,6004,6840,7529,8428,8959,7966,21017,149052
canvas,25113,7656,8995,8828,7951,6470,5508,4907,4556,4128,3971,3713,3731,4179,4095,4645,4955,5686,6236,6961,7267,8429,9066,8180,21013,145537
canvas,25667,7793,9235,8879,7828,6317,5094,4610,4139,3848,3685,3659,3443,4014,4029,4506,4764,5379,6112,6887,7478,8429,9208,8065,21569,147139
canvas,25963,8138,9574,9181,7507,6038,4959,4179,3779,3753,3629,3540,3374,3782,3622,4122,4606,5146,5887,6646,7512,8600,9452,8214,21883,148690
canvas,27092,8322,9865,9267,7248,5681,4620,4067,3654,3551,3309,3293,3216,3553,3351,3963,4224,4754,5623,6807,7421,8894,9759,8368,22514,149360
canvas,23903,7951,8672,7937,6666,5968,5246,4644,4499,4038,3899,3820,3834,4195,4332,4786,5053,5673,6120,6517,7164,8118,8839,8163,20378,151361
canvas,24804,7691,8744,8169,6988,6232,5226,4593,4138,3851,3745,3771,3779,4313,4329,4781,5207,5635,5980,6738,7407,8422,9007,8125,20311,149790
canvas,26118,7499,8730,8717,7653,6155,5142,4487,3926,3658,3591,3490,3564,4049,4148,4709,5156,5734,6283,6793,7541,8575,9163,8109,21240,147546
canvas,27835,7879,9084,8732,7350,5913,4754,3858,3428,3276,2992,2950,3019,3652,3737,4328,4723,5291,6049,6719,7722,8924,9656,8341,22034,149530
canvas,27358,7667,9589,9379,7739,6047,4746,4126,3611,3496,3321,3142,3225,3750,3641,4382,4673,5409,6185,6933,7552,8794,9523,8423,22003,147062
canvas,27110,8132,9495,9060,7625,6091,4714,4147,3769,3557,3364,3223,3122,3630,3605,4155,4703,5213,6059,6873,7646,8983,9680,8407,21921,147492
canvas,26286,8042,10017,9460,7547,5951,4916,4299,3853,3669,3596,3492,3373,3666,3608,4142,4655,5239,5993,6866,7686,8936,9555,8363,21790,146776
canvas,26308,8551,10192,9243,7045,5394,4453,3866,3542,3418,3305,3231,3271,3554,3529,4001,4595,5210,6160,7135,7887,9099,9751,8232,21683,149121
canvas,24411,7739,8719,8260,7099,6122,5380,4720,4257,3910,3660,3726,3953,4350,4397,4838,5237,5779,6190,7004,7504,8541,9276,7887,20581,148236
canvas,26600,8017,9043,8368,6848,5668,4746,4131,3549,3301,3282,3328,3462,3833,3818,4269,4553,5268,5625,6663,7397,8821,9566,8416,21397,151807
canvas,27133,8156,9355,8941,7331,5626,4390,3562,3283,3178,3063,3018,3084,3658,3500,4125,4537,5020,5759,6454,7423,8817,9683,8635,22251,151794
canvas,27938,8416,9852,8978,7196,5355,4177,3460,2926,2766,2671,2656,2799,3175,3231,3733,4154,4617,5232,6153,7144,8931,10221,9055,22427,154513
canvas,28192,8189,9880,9116,7352,5428,4200,3434,3086,2762,2744,2684,2821,3245,3405,4134,4379,4846,5543,6372,7319,8916,9949,8961,22341,152478
canvas,28010,8276,9962,9285,7281,5487,4287,3559,3316,3011,2817,2606,2761,3255,3248,3820,4126,4928,5801,6440,7584,9111,10070,8883,22268,151584
canvas,27220,8360,10107,9380,7332,5589,4235,3775,3375,3250,3122,2994,3020,3387,3360,3798,4356,4836,5727,6758,7747,9139,9947,8456,22111,150395
canvas,26816,8411,10168,9020,7030,5295,4204,3598,3303,3029,3064,3026,2966,3341,3296,3956,4341,5023,5747,6826,7880,9069,9824,8323,22183,152037
canvas,24238,7849,9070,8222,7266,6050,5050,4642,4185,3961,3741,3718,3896,4301,4244,4788,5088,5594,6052,6943,7531,8254,9245,8160,20526,149162
