name,bin[0],bin[1],bin[2],bin[3],bin[4],bin[5],bin[6],bin[7],bin[8],bin[9]
canvas,19015,24864,28660,43801,49070,41091,31196,25203,26777,42099
canvas,18354,24592,28900,44600,50825,41890,31078,24903,25898,40736
canvas,17676,23497,29223,46493,52860,43102,31037,24085,24913,38890
canvas,17393,23029,28940,47416,53857,43810,30911,23787,24420,38213
canvas,16544,22118,29076,48877,56425,44621,30812,23118,23246,36939
canvas,16670,22323,29210,48656,57104,44420,30597,23119,23173,36504
canvas,16092,22338,29266,49160,57995,44712,30251,22926,22758,36278
canvas,15789,21917,28735,50244,59819,45497,30115,22637,21940,35083
canvas,17929,23921,28571,45455,52266,42938,31167,24442,25392,39695
canvas,17281,23321,28793,47089,54058,44072,30847,24026,24327,37962
canvas,16107,22256,28830,49682,56996,44619,30492,23356,23217,36221
canvas,15947,21895,28875,50511,57811,44929,30487,23307,22542,35472
canvas,15177,21479,28987,51512,60084,45312,30044,22716,22028,34437
canvas,15552,21856,28694,50544,60018,44965,30127,22826,22202,34992
canvas,15531,21898,28756,50189,60670,45195,30213,22688,21962,34674
canvas,16157,22372,28725,49357,58873,44944,30286,23122,22213,35727
canvas,16281,23133,29049,47302,55443,45120,31070,23623,23693,37062
canvas,16388,23046,28921,48497,55372,44369,31058,23726,23685,36714
canvas,15931,22605,28969,49762,57171,44443,30378,23594,23036,35887
canvas,16114,22852,29136,50175,56236,43785,30054,24341,23023,36060
canvas,15792,22637,29203,50223,57914,43845,29879,24144,22620,35519
canvas,15764,22321,29270,50760,58236,44118,29973,23578,22542,35214
canvas,15832,22443,29587,49572,58244,44479,30317,23439,22391,35472
canvas,16481,23089,28910,48616,56156,44566,30865,23653,22779,36661
canvas,16744,23100,28502,47242,55166,44879,31036,23924,23732,37451
canvas,16742,23366,28748,47699,55156,44519,30907,23925,23665,37049
canvas,15997,22894,29060,49070,56724,44305,30458,23834,23230,36204
canvas,16661,23263,29163,48152,54985,43757,30768,24309,23565,37153
canvas,17044,23744,29125,47583,54138,43503,30506,24395,24107,37631
canvas,17045,23655,29312,48178,53995,42911,30378,24431,24022,37849
canvas,17734,23773,28989,46777,53159,43198,30525,24443,24335,38843
canvas,18087,23977,29152,46221,51936,43016,31075,24454,24753,39105
canvas,17081,23320,28492,46112,54682,45603,31308,23429,23935,37814
canvas,17265,23549,28355,46134,54799,45095,31424,23721,23791,37643
canvas,17566,23604,28320,45650,54859,45222,31300,23637,23841,37777
canvas,17893,23989,28738,44815,53118,43926,31479,24166,24407,39245
canvas,17929,23786,29068,45413,52473,43597,31746,24332,24470,38962
canvas,18332,24738,29025,44786,51122,43148,31486,24442,24971,39726
canvas,18936,24719,29293,44206,50115,42431,31628,24759,25407,40282
canvas,19950,25339,28832,42566,47873,41477,31401,25383,26474,42481
cushion,8405,12370,22096,54335,96771,60671,27257,15239,13997,20635
cushion,11951,14512,24132,49860,86099,55837,28954,17553,16906,25972
cushion,12823,16485,24423,48476,81742,54479,28883,18512,17955,27998
cushion,12734,18786,24309,47410,78285,53636,29602,19649,18484,28881
cushion,13160,19184,24174,46728,78490,53139,29630,19743,18626,28902
cushion,14207,17602,25098,46456,78492,51564,29236,19576,19364,30181
cushion,12381,14989,24936,48526,86075,53898,28643,18272,17597,26459
cushion,9467,13324,23296,52374,91536,58295,28295,16756,15591,22842
cushion,7958,12979,21543,55062,95747,61794,27841,15060,13515,20277
