path,points,radius,device,width,height,time
C:\Users\damia\Desktop\images gpu\multi res\1920x1200.jpg,8,1,cpu,1920,1200,286.056
C:\Users\damia\Desktop\images gpu\multi res\1920x1200.jpg,8,1,cpu,1920,1200,285.993
C:\Users\damia\Desktop\images gpu\multi res\1920x1200.jpg,8,1,cpu,1920,1200,283.482
C:\Users\damia\Desktop\images gpu\multi res\1920x1200.jpg,8,1,cpu,1920,1200,282.823
C:\Users\damia\Desktop\images gpu\multi res\1920x1200.jpg,8,1,cpu,1920,1200,284.372
C:\Users\damia\Desktop\images gpu\multi res\1920x1200.jpg,8,1,cpu,1920,1200,291.167
C:\Users\damia\Desktop\images gpu\multi res\1920x1200.jpg,8,1,cpu,1920,1200,292.313
C:\Users\damia\Desktop\images gpu\multi res\1920x1200.jpg,8,1,cpu,1920,1200,284.747
C:\Users\damia\Desktop\images gpu\multi res\1920x1200.jpg,8,1,cpu,1920,1200,292.219
C:\Users\damia\Desktop\images gpu\multi res\1920x1200.jpg,8,1,cpu,1920,1200,291.213
C:\Users\damia\Desktop\images gpu\multi res\1920x1200.jpg,8,1,shared,1920,1200,4.44547
C:\Users\damia\Desktop\images gpu\multi res\1920x1200.jpg,8,1,shared,1920,1200,4.39267
C:\Users\damia\Desktop\images gpu\multi res\1920x1200.jpg,8,1,shared,1920,1200,4.46534
C:\Users\damia\Desktop\images gpu\multi res\1920x1200.jpg,8,1,shared,1920,1200,4.54195
C:\Users\damia\Desktop\images gpu\multi res\1920x1200.jpg,8,1,shared,1920,1200,4.59312
C:\Users\damia\Desktop\images gpu\multi res\1920x1200.jpg,8,1,shared,1920,1200,4.41808
C:\Users\damia\Desktop\images gpu\multi res\1920x1200.jpg,8,1,shared,1920,1200,4.49888
C:\Users\damia\Desktop\images gpu\multi res\1920x1200.jpg,8,1,shared,1920,1200,4.37018
C:\Users\damia\Desktop\images gpu\multi res\1920x1200.jpg,8,1,shared,1920,1200,4.3767
C:\Users\damia\Desktop\images gpu\multi res\1920x1200.jpg,8,1,shared,1920,1200,4.49149
C:\Users\damia\Desktop\images gpu\multi res\1920x1200.jpg,8,1,texture,1920,1200,3.98752
